Brand ID,Brand name,Tracking URL,GEO,Currency
107163,"FATICK","https://app.partnerboost.com/track/5d82tYyJ12Ke7twA7s3EZjsj_bycK0WVK4BBOL5Y4q4XJc_b_bgxmiVCE9sJFppvslgp29uiPMVfw_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DAI0G3D72D1Z1U%26marketplaceID%3DATVPDKIKX0DER","CN","USD"
98821,"SmartDevil-DE","https://app.partnerboost.com/track/5ce4qexoLtR_b60YnwceDK9bUatLetAJMsuQyo_bg71845RsRt8cJWQBaF60wtSUB1kjnv3QnQcQ_c_c?url=https%3A%2F%2Fwww.amazon.de%2Fsmartdevil","CN","CNY"
94399,"FAELBATY","https://app.partnerboost.com/track/d7f1wezLgC_aeossxadA6WAmmfT_aMNM9MWpn6TEIO1W3VCFqA2OwbzznEWCm5SuedDeUUq_a7KYaCsJy2o?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DA3PMEZF93GREHF%26marketplaceID%3DATVPDKIKX0DER","CN","USD"
103189,"FESAS","https://app.partnerboost.com/track/cd50N7T5pEe_b9oxStdT0Hnz8_aHSW4OYDGejjrjsDUi1Np7UgxnlcjkcBkQjzb7V7wnViC3aqHvZS?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DA2F7HOER293BN1%26marketplaceID%3DATVPDKIKX0DER","CN","USD"
103583,"YOSUDA","https://app.partnerboost.com/track/880e7n3uIDfEusNpKMcIWLUi2EQkDFR34HkZ_bD28_b3FoC81klWQiORA_a8rVp_bi1AOAWQ0EY9gg_c_c?url=https%3A%2F%2Fwww.amazon.com%2F-%2Fzh%2Fstores%2FYOSUDA%2Fpage%2F52F82D00-B392-4AA2-B6EE-55FA617119E5%3Fref_%3Dast_bln%26store_ref%3Dbl_ast_dp_brandLogo_sto","CN","USD"
133536,"TYCEKFGEY","https://app.partnerboost.com/track/def9opcSxkGVCRhjBFKNLj7vDuLZPamaqqmwFBnHgoWneGx5_anSw7GP1YVZRduRt7w_a4sMcnoA_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DA26WYT1VGR6B34%26marketplaceID%3DATVPDKIKX0DER","US","USD"
109191,"GEMFUL","https://app.partnerboost.com/track/7892khaMm8DJWPr1w_awqqdRNA46Uzem2sVf8mdhXx7T7WKBRhvv5DrTpUds7o1HhUQHXYgv7sJY1kw_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2Fpage%2FA77D2922-278C-4EFF-978B-7A769666FBB3","CN","USD"
122588,"Dryhsip UK","https://app.partnerboost.com/track/6c2e7F9fj3FkdcvGvcvFr77_bdtzjxeOVKOQubWO44_alf2a6oAtmypzXaOjrfWKJDPDhT_bRYgnw_c_c?url=https%3A%2F%2Fwww.amazon.co.uk%2Fs%3Fme%3DA1QY0KY1TYLLVD%26marketplaceID%3DA1F83G8C2ARO7P","CN","GBP"
106764,"HANDLANDY","https://app.partnerboost.com/track/b143tT7bEndQgzQ8MchqAXqF1RudEneMHq6htHDw5eMcIBpF3jVkJ_aWbexu3XybCSsKjlO_aX_baZyTNV76Q_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FHANDLANDY%2Fpage%2F9C526AFC-71D2-41F1-9FD5-A8226D023A70%3Fref_%3Dast_bln%26store_ref%3Dbl_ast_dp_brandLogo_sto","CN","USD"
98822,"SmartDevil-FR","https://app.partnerboost.com/track/943cXrjzmc37PZU52BIG_bLZ0DNoGCPHUWY0qTBw0cxVj1yRHK_ackorHuzfbKpwGyUw_aVRS0yTQ_c_c?url=https%3A%2F%2Fwww.amazon.fr%2Fsmartdevil","CN","CNY"
