Program ID,Affiliate program name,Affiliate Link,Currency
17766,"Mon Avis Media (FR) 18-34yo Males","//ds1.nl/c/?si=17766&li=1770250&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
17871,"Nordic Sheep (DK)","//jdt8.net/c/?si=17871&li=1774352&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
17872,"Nordic Sheep (DE)","//jdt8.net/c/?si=17872&li=1774353&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
17873,"Nordic Sheep (SE)","//jdt8.net/c/?si=17873&li=1774354&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
17896,"Aarniwood (FI - INT)","//dc.aarniwood.com/c/?si=17896&li=1775068&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
17900,"Robell (DE)","//jdt8.net/c/?si=17900&li=1775254&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
17901,"Robell (EU)","//jdt8.net/c/?si=17901&li=1775255&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
17902,"Robell (DK)","//jdt8.net/c/?si=17902&li=1775256&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
17961,"Prime Opinion (UK)","//jdt8.net/c/?si=17961&li=1776699&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
19259,"Prime Opinion (Czech Republic)","//jdt8.net/c/?si=19259&li=1826321&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
17977,"Suomikauppa (FI)","//jdt8.net/c/?si=17977&li=1777815&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
17991,"Ojacet (FI, SE, EU)","//jdt8.net/c/?si=17991&li=1778566&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18040,"Sumilayi (FI)","//bdt9.net/c/?si=18040&li=1780414&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18041,"Sumilayi (INT)","//bdt9.net/c/?si=18041&li=1780422&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18059,"Feel Vivid (FI-SE-EU)","//bdt9.net/c/?si=18059&li=1781281&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18070,"Salvesports (FI - SE - INT)","//bdt9.net/c/?si=18070&li=1782025&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18084,"Min lille mus (DK)","//jf79.net/c/?si=18084&li=1783261&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18102,"Lammeskindet (DK)","//jdt8.net/c/?si=18102&li=1783825&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18103,"Faarskinn (SE)","//jdt8.net/c/?si=18103&li=1783826&wi=#MEDIA_ID#&ws=#SUB_ID#","SEK"
18104,"Lammfellhaus (DE)","//jdt8.net/c/?si=18104&li=1783828&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18105,"Natures Collection (DK)","//jdt8.net/c/?si=18105&li=1783829&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18106,"Natures Collection (SE)","//jdt8.net/c/?si=18106&li=1783830&wi=#MEDIA_ID#&ws=#SUB_ID#","SEK"
18107,"Natures Collection (EU)","//jdt8.net/c/?si=18107&li=1783831&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18108,"Natures Collection (DE)","//jdt8.net/c/?si=18108&li=1783833&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18114,"Sukkamestarit (FI - EU - DE)","//bdt9.net/c/?si=18114&li=1784053&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18120,"Wølmark (FI - EU)","//dc1.wolmark.fi/c/?si=18120&li=1784516&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18138,"Isabel Marant (INT)","//bdt9.net/c/?si=18138&li=1785243&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18159,"Rewards Giant (CA) SOI - MOBILE ONLY","//bdt9.net/c/?si=18159&li=1786062&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
18196,"Netlingeri (DK)","//bdt9.net/c/?si=18196&li=1787135&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18197,"Netlingeri (SE)","//bdt9.net/c/?si=18197&li=1787137&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18198,"Netlingeri (NO)","//bdt9.net/c/?si=18198&li=1787138&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18199,"Netlingeri (DE)","//bdt9.net/c/?si=18199&li=1787139&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18232,"In Front Women (DK)","//bdt9.net/c/?si=18232&li=1788249&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18233,"In Front Women (EU)","//bdt9.net/c/?si=18233&li=1788264&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18237,"Dyrberg Kern (EU)","//bdt9.net/c/?si=18237&li=1788268&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18238,"Dyrberg Kern (DK)","//bdt9.net/c/?si=18238&li=1788269&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18239,"Dyrberg Kern (NO)","//bdt9.net/c/?si=18239&li=1788270&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18240,"Dyrberg Kern (SE)","//bdt9.net/c/?si=18240&li=1788271&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18270,"Heirol (FI - EU)","//bdt9.net/c/?si=18270&li=1789258&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18271,"Minun Pikkuiseni (FI)","//jf79.net/c/?si=18271&li=1789587&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18321,"Netlingeri (EU)","//bdt9.net/c/?si=18321&li=1791982&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18322,"Netlingeri (FR)","//bdt9.net/c/?si=18322&li=1792006&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18323,"Netlingeri (NL)","//bdt9.net/c/?si=18323&li=1792045&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18344,"Prime Opinion (NL)","//jdt8.net/c/?si=18344&li=1792553&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18366,"Lingoda (INT)","//bdt9.net/c/?si=18366&li=1794122&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18371,"TEMU (INT)","//bdt9.net/c/?si=18371&li=1794175&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
20405,"Opinion Edge (AU)","//bdt9.net/c/?si=20405&li=1866398&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
